activity,ax,ay,az,gx,gy,gz
lying , 9.0821 , -1.0266 , 3.5798 , -0.0027 , 0.005 , 0.0007
lying , 9.0725 , -1.0194 , 3.5511 , 0.0021 , 0.005 , -0.0014
lying , 9.0486 , -1.0146 , 3.5631 , 0.0005 , 0.0082 , -0.0025
lying , 9.0318 , -1.0098 , 3.5679 , 0.0005 , 0.0018 , 0.0002
lying , 9.0462 , -1.0098 , 3.5966 , 0.0026 , 0.0093 , -0.0009
lying , 9.0965 , -1.0002 , 3.5583 , 0.001 , -0.0035 , -0.0009
lying , 9.0342 , -1.0266 , 3.5918 , -0.0017 , -0.0003 , 0.0002
lying , 9.118 , -1.0314 , 3.5727 , 0.0036 , 0.0008 , -0.0014
lying , 9.1156 , -1.0434 , 3.5703 , 0.0015 , 0.0056 , -0.0014
lying , 9.0581 , -1.0362 , 3.5846 , -0.0011 , 0.0002 , 0.0002
lying , 9.0821 , -1.0098 , 3.5703 , -0.0022 , 0.0024 , 0.0002
lying , 9.015 , -1.0338 , 3.5631 , 0.0042 , 0.0018 , 0.0002
lying , 9.0821 , -1.0122 , 3.5415 , -0.0001 , -0.003 , 0.0018
lying , 9.051 , -1.0122 , 3.5822 , -0.0001 , -0.0014 , 0.0013
lying , 9.1252 , -1.0434 , 3.5583 , 0.001 , -0.0019 , -0.0009
lying , 9.0773 , -1.0362 , 3.5679 , 0.001 , -0.0003 , 0.0018
lying , 9.051 , -1.0266 , 3.5607 , -0.0022 , 0.0072 , -0.0003
lying , 9.0581 , -1.0362 , 3.5655 , -0.0011 , 0.0002 , -0.0014
lying , 9.0534 , -0.9811 , 3.5511 , 0.0005 , 0.0072 , 0.0002
lying , 9.0438 , -1.0793 , 3.5128 , 0.0031 , -0.003 , -0.0019
lying , 9.1037 , -1.0601 , 3.5224 , 0.0015 , 0.0072 , 0.0007
lying , 9.0749 , -1.0242 , 3.5535 , 0.0042 , 0.0024 , 0.0018
lying , 9.051 , -1.0505 , 3.5607 , -0.0017 , 0.0072 , 0.0013
lying , 9.0893 , -1.0434 , 3.5894 , 0.0047 , 0.005 , -0.0025
lying , 9.0677 , -1.0146 , 3.5439 , 0.0005 , 0.0082 , -0.0025
lying , 9.0821 , -0.9954 , 3.5583 , 0.0058 , 0.0125 , -0.0003
lying , 9.0701 , -1.0649 , 3.5918 , 0.0047 , 0.0056 , -0.0003
lying , 9.0845 , -1.0362 , 3.5607 , 0.0021 , 0.0125 , 0.0002
lying , 8.9959 , -1.0146 , 3.6014 , 0.0052 , 0.0066 , -0.0003
lying , 9.0414 , -1.0625 , 3.5319 , 0.0026 , 0.0066 , 0.0002
lying , 9.0797 , -1.0434 , 3.5224 , -0.0006 , -0.0008 , 0.0029
lying , 9.039 , -1.0338 , 3.5343 , -0.0006 , 0.0008 , -0.0014
lying , 9.0534 , -0.9907 , 3.5463 , 0.0058 , -0.0003 , -0.0009
lying , 9.0965 , -0.9978 , 3.5894 , -0.0011 , 0.0008 , 0.0023
lying , 9.0941 , -1.0529 , 3.5918 , -0.0017 , -0.0056 , -0.0009
lying , 9.0102 , -1.0457 , 3.5798 , 0.0005 , -0.003 , -0.0009
lying , 9.0749 , -1.0314 , 3.5439 , 0.0005 , 0.0008 , -0.0014
lying , 9.0629 , -1.0242 , 3.5439 , -0.0001 , 0.0029 , -0.0009
lying , 9.0581 , -1.0745 , 3.5774 , -0.0011 , 0.0034 , 0.0007
lying , 9.0462 , -1.0098 , 3.5846 , 0.0021 , 0.0029 , 0.0029
lying , 9.0342 , -1.0362 , 3.5463 , 0.0005 , -0.0003 , 0.0029
lying , 9.0797 , -1.017 , 3.5727 , -0.0001 , -0.0035 , -0.0009
lying , 9.0126 , -1.0242 , 3.5487 , -0.0006 , -0.003 , 0.0002
lying , 9.0677 , -1.0362 , 3.587 , -0.0011 , 0.0029 , 0.0007
lying , 9.1061 , -1.0553 , 3.5655 , -0.0001 , 0.0034 , 0.0018
lying , 9.0605 , -1.0242 , 3.5798 , -0.0011 , 0.0013 , 0.0013
lying , 9.051 , -1.017 , 3.5128 , 0.0042 , 0.004 , 0.0013
lying , 9.0893 , -1.0074 , 3.5271 , 0.0005 , 0.0018 , 0.0034
lying , 9.1276 , -1.0338 , 3.5511 , -0.0001 , -0.0019 , 0.0007
lying , 9.0581 , -1.005 , 3.5367 , 0.0036 , 0.0061 , -0.0025
lying , 9.0486 , -1.0146 , 3.5607 , 0.0005 , 0.0056 , 0.0018
lying , 9.0462 , -1.0026 , 3.5942 , -0.0011 , -0.0051 , -0.0009
lying , 9.1156 , -1.0218 , 3.5774 , -0.0033 , 0.0093 , -0.0009
lying , 9.0342 , -1.0721 , 3.5343 , 0.0015 , 0.0072 , 0.0007
lying , 9.0629 , -0.9763 , 3.5319 , 0.0015 , 0.0013 , -0.0003
lying , 9.1228 , -1.0074 , 3.5846 , -0.0011 , -0.004 , -0.0009
lying , 9.0749 , -1.0481 , 3.5463 , -0.0001 , -0.0019 , 0.0007
lying , 9.0486 , -1.0218 , 3.5152 , -0.0006 , -0.004 , 0.0007
lying , 9.0581 , -1.0457 , 3.5463 , -0.0027 , -0.0003 , 0.0007
lying , 9.0725 , -1.029 , 3.5391 , 0.0015 , 0.0045 , -0.0019
lying , 9.0749 , -1.005 , 3.5295 , -0.0033 , -0.004 , 0.0029
lying , 9.0629 , -1.0122 , 3.5918 , 0.0047 , 0.0066 , 0.0007
lying , 9.0605 , -1.029 , 3.5343 , 0.0015 , 0.005 , -0.0003
lying , 9.0653 , -1.0457 , 3.5463 , -0.0033 , -0.0046 , -0.0003
lying , 9.0677 , -1.041 , 3.5415 , 0.0036 , -0.0014 , 0.0023
lying , 9.0534 , -1.0218 , 3.5391 , 0.0036 , 0.0024 , -0.0019
lying , 9.0653 , -1.0122 , 3.5415 , 0.0005 , -0.0024 , -0.0014
lying , 9.027 , -1.0577 , 3.5271 , -0.0038 , 0.0056 , 0.0013
lying , 9.0989 , -0.9859 , 3.5798 , 0.0031 , 0.0013 , 0.0013
lying , 9.0653 , -1.0362 , 3.5894 , 0.0036 , 0.004 , -0.0003
lying , 9.0462 , -1.0577 , 3.5607 , -0.0027 , -0.0014 , 0.0007
lying , 9.0677 , -1.0457 , 3.5343 , -0.0017 , -0.0083 , 0.0002
lying , 9.0677 , -1.0002 , 3.5224 , 0.0031 , 0.0056 , 0.0007
lying , 9.0581 , -1.0002 , 3.5176 , -0.0043 , -0.011 , -0.0009
lying , 9.0366 , -1.017 , 3.6014 , 0.0031 , -0.0046 , -0.0019
lying , 9.0797 , -0.9859 , 3.5463 , -0.0017 , 0.0119 , -0.0009
lying , 9.1372 , -1.0434 , 3.5655 , -0.0001 , 0.0024 , -0.0019
lying , 9.0605 , -1.0338 , 3.5295 , -0.0017 , 0.0024 , -0.0009
lying , 9.0725 , -1.0314 , 3.5463 , 0.0005 , 0.0098 , 0.0013
lying , 9.1037 , -1.029 , 3.5367 , -0.0001 , 0.0045 , 0.0002
lying , 9.0557 , -1.0194 , 3.52 , -0.0022 , -0.0056 , 0.0002
lying , 9.0677 , -1.0649 , 3.5846 , 0.0042 , -0.0003 , -0.0009
lying , 9.0797 , -1.0098 , 3.5343 , -0.0011 , 0.0002 , -0.0014
lying , 9.0869 , -1.0074 , 3.5942 , -0.0033 , 0.0013 , 0.0007
